title,english_title,romaji_title,genres,rating_anilist,rating_mal,episodes,status,format,season,year,synopsis,studio,source_material,popularity_anilist,mal_members,mal_rank,cover_image_url,start_date,end_date,duration_per_ep,age_rating,mal_id
Attack on Titan,Attack on Titan,Shingeki no Kyojin,Action | Drama | Fantasy | Mystery,8.5,8.57,25.0,FINISHED,TV,SPRING,2013.0,"Several hundred years ago, humans were nearly exterminated by titans. Titans are typically several stories tall, seem to have no intelligence, devour human beings and, worst of all, seem to do it for the pleasure rather than as a food source. A small percentage of humanity survived by walling themselves in a city protected by extremely high walls, even taller than the biggest of titans. Flash forward to the present and the city has not seen a titan in over 100 years. Teenage boy Eren and his foster sister Mikasa witness something horrific as the city walls are destroyed by a colossal titan that appears out of thin air. As the smaller titans flood the city, the two kids watch in horror as their mother is eaten alive. Eren vows that he will murder every single titan and take revenge for all of mankind. (Source: MangaHelpers)",WIT STUDIO,MANGA,1000051,4367640.0,127.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx16498-buvcRTBx4NSm.jpg,2013-04-07,2013-09-28,24.0,R - 17+ (violence & profanity),16498.0
Demon Slayer: Kimetsu no Yaiba,Demon Slayer: Kimetsu no Yaiba,Kimetsu no Yaiba,Action | Adventure | Drama | Fantasy | Supernatural,8.3,8.4,26.0,FINISHED,TV,SPRING,2019.0,"It is the Taisho Period in Japan. Tanjiro, a kindhearted boy who sells charcoal for a living, finds his family slaughtered by a demon. To make matters worse, his younger sister Nezuko, the sole survivor, has been transformed into a demon herself. Though devastated by this grim reality, Tanjiro resolves to become a “demon slayer” so that he can turn his sister back into a human, and kill the demon that massacred his family. (Source: Crunchyroll)",ufotable,MANGA,946267,3455059.0,232.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx101922-WBsBl0ClmgYL.jpg,2019-04-06,2019-09-28,24.0,R - 17+ (violence & profanity),38000.0
JUJUTSU KAISEN,JUJUTSU KAISEN,Jujutsu Kaisen,Action | Drama | Supernatural,8.4,8.5,24.0,FINISHED,TV,FALL,2020.0,"A boy fights... for ""the right death."" Hardship, regret, shame: the negative feelings that humans feel become Curses that lurk in our everyday lives. The Curses run rampant throughout the world, capable of leading people to terrible misfortune and even death. What's more, the Curses can only be exorcised by another Curse. Itadori Yuji is a boy with tremendous physical strength, though he lives a completely ordinary high school life. One day, to save a friend who has been attacked by Curses, he eats the finger of the Double-Faced Specter, taking the Curse into his own soul. From then on, he shares one body with the Double-Faced Specter. Guided by the most powerful of sorcerers, Gojou Satoru, Itadori is admitted to the Tokyo Metropolitan Technical High School of Sorcery, an organization that fights the Curses... and thus begins the heroic tale of a boy who became a Curse to exorcise a Curse, a life from which he could never turn back. (Source: Crunchyroll) Note: The first episode received an early web premiere on September 19th, 2020. The regular TV broadcast started on October 3rd, 2020.",MAPPA,MANGA,915193,3043711.0,166.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx113415-LHBAeoZDIsnF.jpg,2020-10-03,2021-03-27,24.0,R - 17+ (violence & profanity),40748.0
Death Note,Death Note,DEATH NOTE,Mystery | Psychological | Supernatural | Thriller,8.4,8.62,37.0,FINISHED,TV,FALL,2006.0,"Light Yagami is a genius high school student who is about to learn about life through a book of death. When a bored shinigami, a God of Death, named Ryuk drops a black notepad called a Death Note, Light receives power over life and death with the stroke of a pen. Determined to use this dark gift for the best, Light sets out to rid the world of evil… namely, the people he believes to be evil. Should anyone hold such power? The consequences of Light’s actions will set the world ablaze. (Source: VIZ Media)",MADHOUSE,MANGA,911296,4305882.0,99.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx1535-kUgkcrfOrkUM.jpg,2006-10-04,2007-06-27,23.0,R - 17+ (violence & profanity),1535.0
My Hero Academia,My Hero Academia,Boku no Hero Academia,Action | Adventure | Comedy,7.7,7.83,13.0,FINISHED,TV,SPRING,2016.0,"What would the world be like if 80 percent of the population manifested extraordinary superpowers called “Quirks” at age four? Heroes and villains would be battling it out everywhere! Becoming a hero would mean learning to use your power, but where would you go to study? U.A. High's Hero Program of course! But what would you do if you were one of the 20 percent who were born Quirkless? Middle school student Izuku Midoriya wants to be a hero more than anything, but he hasn't got an ounce of power in him. With no chance of ever getting into the prestigious U.A. High School for budding heroes, his life is looking more and more like a dead end. Then an encounter with All Might, the greatest hero of them all gives him a chance to change his destiny… (Source: VIZ Media)",bones,MANGA,834900,3310857.0,1109.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21459-nYh85uj2Fuwr.jpg,2016-04-03,2016-06-26,24.0,PG-13 - Teens 13 or older,31964.0
Hunter x Hunter (2011),Hunter x Hunter (2011),HUNTER×HUNTER (2011),Action | Adventure | Fantasy,8.9,9.03,148.0,FINISHED,TV,FALL,2011.0,"A new adaption of the manga of the same name by Togashi Yoshihiro. A Hunter is one who travels the world doing all sorts of dangerous tasks. From capturing criminals to searching deep within uncharted lands for any lost treasures. Gon is a young boy whose father disappeared long ago, being a Hunter. He believes if he could also follow his father's path, he could one day reunite with him. After becoming 12, Gon leaves his home and takes on the task of entering the Hunter exam, notorious for its low success rate and high probability of death to become an official Hunter. He befriends the revenge-driven Kurapika, the doctor-to-be Leorio and the rebellious ex-assassin Killua in the exam, with their friendship prevailing throughout the many trials and threats they come upon taking on the dangerous career of a Hunter.",MADHOUSE,MANGA,800313,3193956.0,9.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx11061-y5gsT1hoHuHw.png,2011-10-02,2014-09-24,24.0,PG-13 - Teens 13 or older,11061.0
One-Punch Man,One-Punch Man,One Punch Man,Action | Comedy | Sci-Fi | Supernatural,8.3,8.47,12.0,FINISHED,TV,FALL,2015.0,"Saitama has a rather peculiar hobby, being a superhero, but despite his heroic deeds and superhuman abilities, a shadow looms over his life. He's become much too powerful, to the point that every opponent ends up defeated with a single punch. The lack of challenge has driven him into a state of apathy, as he watches his life pass by having lost all enthusiasm, at least until he's unwillingly thrust in the role of being a mentor to the young and revenge-driven Genos.",MADHOUSE,MANGA,736705,3524529.0,181.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21087-B5DHjqZ3kW4b.jpg,2015-10-05,2015-12-21,24.0,R - 17+ (violence & profanity),30276.0
Tokyo Ghoul,Tokyo Ghoul,Tokyo Ghoul,Action | Drama | Horror | Mystery | Psychological | Supernatural,7.6,7.79,12.0,FINISHED,TV,SUMMER,2014.0,"The suspense horror/dark fantasy story is set in Tokyo, which is haunted by mysterious ""ghouls"" who are devouring humans. People are gripped by the fear of these ghouls whose identities are masked in mystery. An ordinary college student named Kaneki encounters Rize, a girl who is an avid reader like him, at the café he frequents. Little does he realize that his fate will change overnight. (Source: Anime News Network)",Studio Pierrot,MANGA,706177,3060595.0,1235.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/b20605-k665mVkSug8D.jpg,2014-07-04,2014-09-19,24.0,R - 17+ (violence & profanity),22319.0
ONE PIECE,ONE PIECE,ONE PIECE,Action | Adventure | Comedy | Drama | Fantasy,8.7,8.73,,RELEASING,TV,FALL,1999.0,"Gold Roger was known as the Pirate King, the strongest and most infamous being to have sailed the Grand Line. The capture and death of Roger by the World Government brought a change throughout the world. His last words before his death revealed the location of the greatest treasure in the world, One Piece. It was this revelation that brought about the Grand Age of Pirates, men who dreamed of finding One Piece (which promises an unlimited amount of riches and fame), and quite possibly the most coveted of titles for the person who found it, the title of the Pirate King. Enter Monkey D. Luffy, a 17-year-old boy that defies your standard definition of a pirate. Rather than the popular persona of a wicked, hardened, toothless pirate who ransacks villages for fun, Luffy’s reason for being a pirate is one of pure wonder; the thought of an exciting adventure and meeting new and intriguing people, along with finding One Piece, are his reasons of becoming a pirate. Following in the footsteps of his childhood hero, Luffy and his crew travel across the Grand Line, experiencing crazy adventures, unveiling dark mysteries and battling strong enemies, all in order to reach One Piece. *This includes following special episodes: - Chopperman to the Rescue! Protect the TV Station by the Shore! (Episode 336) - The Strongest Tag-Team! Luffy and Toriko's Hard Struggle! (Episode 492) - Team Formation! Save Chopper (Episode 542) - History's Strongest Collaboration vs. Glutton of the Sea (Episode 590) - 20th Anniversary! Special Romance Dawn (Episode 907)",Toei Animation,MANGA,704583,2686317.0,55.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx21-ELSYx3yMPcKM.jpg,1999-10-20,,24.0,PG-13 - Teens 13 or older,21.0
Attack on Titan Season 2,Attack on Titan Season 2,Shingeki no Kyojin Season 2,Action | Drama | Fantasy | Mystery,8.5,8.54,12.0,FINISHED,TV,SPRING,2017.0,"Eren Jaeger swore to wipe out every last Titan, but in a battle for his life he wound up becoming the thing he hates most. With his new powers, he fights for humanity's freedom facing the monsters that threaten his home. After a bittersweet victory against the Female Titan, Eren finds no time to rest—a horde of Titans is approaching Wall Rose and the battle for humanity continues! (Source: Funimation)",WIT STUDIO,MANGA,700446,3024897.0,145.0,https://s4.anilist.co/file/anilistcdn/media/anime/cover/medium/bx20958-HuFJyr54Mmir.jpg,2017-04-01,2017-06-17,25.0,R - 17+ (violence & profanity),25777.0
